Sex;Language;Education;Age;Wages
Male;English;16;53;14.98
Female;English;11.5;46;8
Male;English;17;24;15.5
Male;English;12;23;8.74
Male;French;11;47;15.5
Male;English;8;77;15.5
Male;Other;10;67;15.5
Female;English;14;70;15.5
Female;English;20;47;15.5
Female;English;15.5;65;15.5
Male;Other;11;73;15.5
Male;English;18;35;15.5
Male;English;18.4;39;16.67
Male;English;16;51;19.2
Female;English;17;27;20.48
Male;Other;0;59;15.5
Male;English;9.5;63;9.17
Female;Other;14;40;5.84
Female;English;7;74;15.5
Female;English;10;78;15.5
Male;English;20;54;15.5
Male;Other;11;32;7
Female;Other;10;53;15.5
Male;English;18;34;15.5
Male;English;10;76;15.5
Female;English;9;33;7
Male;English;19.3;64;15.5
Female;English;10.5;50;15.5
Female;English;13.3;41;10.34
Female;Other;0;85;15.5
Male;English;18;95;15.5
Female;English;14;36;16.72
Male;French;7;58;15.5
Male;English;11;41;9.6
Male;English;12.7;23;15.5
Female;Other;10;48;12
Female;English;14;28;15.5
Male;English;14;27;15.6
Male;Other;19;35;20.88
Female;English;8;30;6.7
Male;English;11;54;22.08
Male;English;8;66;15.5
Male;English;14;25;18.52
Male;English;14.1;35;16.78
Female;English;12;48;17
Female;English;13;53;15.5
Female;English;2;68;15.5
Male;English;12.5;58;15.5
Male;English;20;56;20.16
Male;English;10;48;15.5
Male;Other;12;50;15.5
Female;English;16;35;15.5
Male;English;20;83;15.5
Male;French;8;59;15.5
Female;English;10;64;15.5
Male;English;10;16;15.5
Female;English;10;16;6.85
Female;English;13;72;15.5
Male;English;13;64;15.84
Female;English;11;17;15.5
Female;English;12;63;15.5
Male;English;14;33;15.5
Female;Other;17.1;56;15.5
Male;English;4.5;58;15.5
Female;English;12.8;19;6.98
Male;Other;12;42;21.25
Female;English;12.5;33;15.5
Female;English;18;39;15.5
Female;Other;11.6;19;7.19
Female;Other;9.2;34;15.93
Male;Other;12.5;66;15.5
Female;Other;12;39;13.44
Female;French;8;41;8.09
Female;English;4;81;15.5
Male;English;10;58;21.38
Female;English;10;43;13.19
Female;English;12;50;19.2
Female;English;18;35;19.2
Male;English;10;51;14.83
Male;Other;11;62;15.5
Male;English;13.5;31;18.57
Female;French;12;18;15.5
Female;English;11.5;58;12.8
Female;Other;20;30;18.43
Male;English;17;25;15.52
Male;English;11.5;65;15.5
Male;French;10;40;21.6
Female;English;18;27;9.2
Female;Other;8;51;15.5
Male;English;12.5;75;15.5
Female;English;19;25;8.7
Female;English;12;41;15.36
Male;English;16;23;10
Female;English;9;45;15.5
Female;English;14;37;15.5
Male;English;12;32;9
Male;English;10.3;29;7.97
Male;English;12.5;31;12.13
Male;English;15.5;23;7.06
Female;English;12.5;39;15.5
Male;Other;10;70;15.5
Female;English;12;37;15.5
Male;Other;14;55;15.5
Female;English;8;69;15.5
Male;Other;3;67;15.5
Male;English;5;74;15.5
Male;English;13.6;37;15.5
Female;English;8;55;15.5
Male;English;13;19;15.5
Male;English;10;52;15.5
Female;English;13;53;20.77
Male;English;12.5;30;20.16
Male;English;11;62;14.4
Female;English;12;25;15.5
Male;English;10;18;6.72
Male;French;9.5;35;16.46
Male;English;11;17;15.5
Female;French;8;62;15.5
Female;French;9;67;15.5
Female;English;11.5;20;15.5
Female;English;15.2;25;10
Female;English;13;61;15.84
Female;English;19;28;7.24
Female;English;12;22;10
Male;English;9;32;11.36
Male;English;12;21;7.5
Male;English;15.5;75;15.5
Female;English;12.5;23;9.32
Male;English;11.3;19;6.5
Male;English;15.3;24;6.75
Male;English;8;59;15.5
Female;English;12;40;10.5
Female;English;9.5;38;13.44
Male;English;12.5;34;14.7
Male;English;10.3;43;15.5
Female;French;13.6;32;17.01
Female;English;13;25;15.5
Male;English;12;77;15.5
Male;Other;8;59;15.5
Male;French;12;40;15.5
Female;English;12;31;17
Male;English;10.2;53;14
Female;English;8;64;15.5
Female;Other;3;62;15.5
Female;English;10;16;15.5
Female;English;19;28;16.96
Female;English;9.5;22;6.85
Female;English;18;42;15.5
Female;English;12.5;55;15.5
Male;English;10;52;10.71
Female;French;12.5;40;11.54
Female;English;10;16;15.5
Female;Other;18;82;15.5
Male;English;12;67;15.5
Female;French;14.1;37;10
Female;English;10;30;10
Male;Other;15;48;19.93
Male;English;12;29;15.5
Female;English;14;43;10
Female;English;17;44;21.84
Female;Other;12;30;15.5
Female;English;14;35;5.8
Female;Other;11;62;15.5
Female;English;12;30;7
Female;English;12;39;15.36
Female;English;13.5;22;6.63
Male;English;11;56;15.3
Male;Other;13;62;15.5
Male;English;18;22;15.5
Female;English;11;18;6.7
Female;English;12.5;35;15.5
Female;English;7;67;15.5
Male;English;9;23;22.22
Male;English;12;30;8
Male;English;12;39;15.5
Female;English;7;70;15.5
Female;English;10.8;18;6.4
Male;English;10.5;38;21.53
Female;English;10;58;16.32
Male;Other;12;43;15.5
Female;English;13.5;19;15.5
Male;English;10;45;15.5
Female;English;14.3;30;14.4
Male;English;10;48;20.68
Male;English;12;23;14
Female;English;14;36;12.1
Male;English;11.3;32;15.51
Male;English;13.6;32;16.86
Female;English;13;73;15.5
Female;English;0;19;15.5
Male;French;11.2;20;15.5
Female;French;12.1;38;15.5
Male;English;17.5;25;14
Female;Other;11;51;13.07
Male;English;17;69;15.5
Male;English;20;74;15.5
Female;Other;13;37;16
Female;English;12;35;6.79
Female;English;12;82;15.5
Female;English;13.5;28;9
Female;English;10;38;9
Female;English;11;30;15.5
Male;English;12.5;16;15.5
Female;English;3;66;15.5
Female;English;12;69;15.5
Male;English;13;57;20
Female;English;12;47;15.5
Male;English;13.5;22;16
Female;English;6;86;15.5
Male;English;10;60;6.9
Male;English;12;32;15.5
Female;English;10;41;15.5
Male;English;14.1;35;15.5
Female;Other;14;23;14.63
Female;English;13.6;37;15.78
Female;Other;8;63;15.5
Female;English;15;59;21.06
Female;French;11.3;34;5.97
Male;English;16;28;18.41
Female;English;15.8;21;7
Female;English;8;77;15.5
Male;Other;19;38;15.79
Female;English;8;54;10
Male;English;12;18;9.19
Male;English;12.6;33;19.2
Female;English;12;29;15.5
Female;English;8;85;15.5
Female;English;12;30;15.5
Female;English;13;31;10.26
Male;English;15;29;14.81
Female;English;12;38;7.5
Female;English;11;81;15.5
Female;English;19;31;8.5
Male;English;12;37;16.5
Female;French;11;25;12.49
Male;French;11;29;10.47
Male;English;17.8;38;15.5
Female;Other;13;39;12
Female;English;10;58;10
Female;English;9;50;15.5
Female;Other;12.5;38;15.5
Female;English;12;34;12
Male;English;16;64;15.5
Female;English;12;19;15.5
Female;English;13;56;6.75
Male;English;10;61;15.5
Female;English;10;18;8.99
Female;English;12.5;21;15.5
Male;English;12;70;15.5
Male;English;17;74;15.5
Female;English;11.5;64;15.5
Male;English;10;16;15.5
Female;English;10;63;15.5
Male;English;10;77;15.5
Male;English;11;37;9.25
Male;English;18;64;15.5
Male;English;14.6;58;15.5
Female;Other;17.5;27;15.5
Female;English;11.8;49;15.5
Male;English;16;37;17.49
Female;English;14;39;20.11
Female;Other;8;33;9.25
Male;Other;19.3;47;15.5
Female;English;13.5;77;15.5
Female;English;17.5;32;16.16
Female;English;12;19;6.78
Female;English;10;68;15.5
Female;English;13;45;15.5
Female;English;10;48;10
Male;English;10;39;9.5
Male;English;12;40;15.5
Male;English;10;16;15.5
Male;English;11;52;15.5
Female;English;12;73;15.5
Female;Other;8;60;15.5
Female;French;12;63;15.5
Male;English;12;24;13.37
Female;Other;10;39;15.5
Male;French;13;32;20.34
Female;Other;13.5;25;7.85
Female;English;13.3;35;17.41
Male;English;13;51;15.5
Female;Other;12;52;12.85
Female;English;11;22;15.5
Male;English;11;16;15.5
Female;English;17;27;12
Male;English;12;30;17
Female;Other;12;43;13
Female;Other;7;71;15.5
Male;Other;10;67;15.5
Female;French;12;23;7.63
Male;English;15;26;15.5
Male;Other;12.5;34;10.87
Male;English;14.4;28;22.75
Male;English;11;55;16
Female;English;13;50;8.5
Male;Other;17;56;19.2
Male;English;2;81;15.5
Male;Other;0;72;15.5
Male;English;13;24;7.94
Male;English;13.1;18;10
Male;English;12.1;20;15.5
Female;English;14.5;21;15.5
Male;English;11;34;15.5
Male;English;8;68;15.5
Male;English;14;34;14.59
Male;English;16;27;17.9
Male;Other;15;68;19.73
Male;English;17.5;26;9
Male;English;12.4;37;15.5
Female;English;12;19;15.5
Female;English;6.5;82;15.5
Male;Other;17;22;11.44
Male;English;8;83;15.5
Male;English;10.8;17;6.75
Female;English;12.9;22;9.5
Female;English;19.4;53;19.5
Male;English;11;33;11.64
Female;English;14;69;15.5
Female;English;12;34;15.5
Female;English;12;45;9.6
Male;French;10;67;15.5
Male;English;12.5;39;15.42
Female;English;11;56;15.5
Female;English;18.5;37;20.64
Female;English;9;71;15.5
Female;English;12;45;14.84
Male;English;12;26;12.53
Male;English;11;64;15.5
Female;English;13;31;10.45
Male;French;17;32;15.16
Male;English;15;37;8.57
Male;Other;20;77;15.5
Female;English;12;50;10
Female;Other;17;44;13.71
Male;English;9;61;15.5
Male;English;15;41;13.44
Female;English;12.4;44;9.5
Male;English;14;31;11.04
Female;Other;15;83;15.5
Female;English;16.5;30;7.75
Female;English;11;68;15.5
Female;English;10.6;45;10
Male;French;12;31;8.74
Female;English;12;84;15.5
Female;English;9;46;15.5
Male;English;14;27;10.48
Male;English;10;72;15.5
Female;English;15.5;22;9.86
Female;French;20;31;20.28
Female;English;13.5;45;10
Male;English;16.4;25;11.71
Female;English;12;84;15.5
Male;French;16;81;15.5
Female;English;12.5;25;6.55
Female;English;12.5;31;15
Female;English;8;77;15.5
Female;Other;8;74;15.5
Male;English;13;38;20.33
Female;English;12.5;24;11.52
Female;English;11;17;15.5
Female;French;12.5;61;15.5
Male;English;12.5;34;7.5
Male;English;12;72;15.5
Male;French;19.5;25;19.72
Female;French;10;40;12.05
Female;English;13;53;10.24
Female;English;12;49;11.6
Female;English;17.7;61;10.22
Male;Other;20;54;19.23
Male;English;8.5;69;15.5
Female;English;13;35;9.74
Male;English;12;19;11.51
Female;English;14.5;25;15.5
Female;English;13.5;48;6.8
Male;English;17.6;40;22.27
Male;French;12;56;15.5
Male;Other;12;32;17.07
Male;English;9;52;17
Female;English;12.6;38;15.5
Female;Other;5;59;15.5
Female;English;11;60;15.5
Female;English;10;60;15.5
Male;English;17.5;26;8.5
Female;English;12;47;12
Male;English;12;45;22.19
Female;Other;8;68;15.5
Male;English;11.5;66;15.5
Male;English;12.5;68;15.5
Female;English;10;16;6.7
Female;English;14;29;7.5
Female;English;13;33;17
Female;English;12;32;10.12
Female;Other;2;88;15.5
Male;English;13;37;14.5
Female;English;15;19;6.5
Male;English;9;65;15.5
Female;English;10;68;15.5
Female;Other;13;61;15.5
Female;English;15;70;15.5
Female;English;12;21;15.5
Male;English;14.3;21;15.5
Female;English;12.8;19;6.7
Female;French;9;62;15.5
Male;English;12;31;15.5
Male;English;10.5;57;11
Female;English;15.5;32;15.5
Female;English;13;72;15.5
Male;English;13;21;7.69
Female;English;12.2;30;15.5
Female;Other;4;75;15.5
Male;English;13.8;25;10.88
Female;English;12.5;40;14.54
Female;Other;12.5;37;8.96
Male;English;12;37;15.5
Female;English;14;20;6.7
Female;English;12;36;12.77
Male;English;15;51;15.5
Female;English;12;18;7
Female;Other;19;24;6.5
Male;English;18;29;13.41
Male;English;12.5;74;15.5
Female;English;14.5;31;15.5
Male;English;17.3;27;15.61
Female;English;10;58;14.26
Male;English;11;17;7.21
Female;English;10.5;31;14.11
Female;English;8;76;15.5
Female;Other;14;59;10
Female;English;8;53;6.7
Male;English;13;32;17
Female;English;12;29;15.5
Female;English;12.5;73;15.5
Male;English;9.8;54;15.5
Male;English;15.5;20;6.65
Female;French;17;68;15.5
Female;English;13.5;26;15.5
Female;English;13;30;18.11
Female;Other;14;46;19.12
Female;French;9.5;63;15.5
Male;English;17;61;15.5
Female;Other;12.8;40;13.58
Female;English;13;51;6.75
Female;English;11.3;39;13.73
Female;Other;8;51;15.5
Male;French;9;16;6.35
Male;Other;10;27;15.5
Male;Other;20;48;16.24
Male;Other;10;66;15.5
Female;English;5;64;15.5
Male;English;14.6;23;9
Female;Other;16;51;19.8
Male;English;14;50;15.5
Male;French;8;74;15.5
Male;English;13;55;15.5
Male;English;10.5;41;10.69
Male;English;12.5;31;13.68
Female;English;11;82;15.5
Male;English;8;72;15.5
Male;English;12.5;73;15.5
Female;English;14;28;8
Female;English;13;35;15.5
Female;Other;9;67;15.5
Male;English;9;54;15.5
Female;English;12;71;15.5
Female;English;6;82;15.5
Male;English;12;74;15.5
Female;English;17;57;15.5
Male;Other;7;58;15.5
Male;English;9;49;15.5
Female;Other;16;69;15.5
Male;English;13;57;19.2
Male;English;11;60;9.75
Male;English;8;55;15.5
Female;Other;4;45;8.79
Female;English;15.1;53;15.5
Female;Other;10;61;15.5
Male;Other;16.1;40;17.03
Male;Other;8;54;15.66
Female;English;12;43;14.43
Female;English;10;73;15.5
Female;English;10;38;15.5
Female;English;12.5;59;15.5
Male;English;8;57;15.5
Male;French;10;50;15.5
Male;English;11.7;18;15.5
Male;French;14;61;15.5
Female;English;10;69;15.5
Female;Other;11;49;15.5
Male;Other;10;72;15.5
Female;English;10;70;15.5
Male;English;15;35;15
Female;English;12.9;45;14.13
Male;English;14.5;34;15.5
Female;French;10;54;15.5
Female;Other;12;34;15.5
Female;English;13;51;15.5
Female;English;11.6;45;11.94
Male;English;13;19;6.7
Female;English;9;65;15.5
Male;English;11;58;15.5
Male;English;14;63;15.5
Female;English;14;77;15.5
Female;English;13;66;15.5
Female;English;8.3;48;14.94
Female;English;14.6;21;9.85
Male;English;10;16;15.5
Female;English;10;31;17.4
Male;Other;12.5;58;15.5
Male;English;16.1;40;22
Female;English;10;32;15.5
Female;English;9;69;15.5
Female;English;13.5;31;15.44
Female;English;13.5;70;15.5
Female;Other;15;32;17.28
Female;English;12.5;49;18.94
Female;English;8;70;15.5
Male;English;10;67;15.5
Female;English;10;25;15.5
Male;Other;15;44;15.5
Male;English;10;52;15.79
Male;English;14;21;10.71
Male;English;14;51;14.08
Male;Other;16;25;10
Female;English;12;44;15.26
Male;Other;15;22;10.75
Female;English;10.6;31;15.5
Female;English;10.5;49;15.5
Female;English;17;39;21.22
Female;English;10;55;15.5
Male;English;15.5;27;9.97
Male;English;7;85;15.5
Female;English;12;26;15.5
Male;English;8;52;18.24
Female;English;13;47;8.75
Female;English;8;37;8
Female;English;13;37;14
Female;English;11;20;12.39
Male;Other;4.1;48;17.5
Female;English;13;25;12
Female;English;16.3;26;15.2
Female;Other;12.1;21;15.5
Male;English;11;25;8
Female;English;12.6;18;6.35
Female;English;11;76;15.5
Female;English;11;17;15.5
Female;English;10;73;15.5
Male;Other;13.5;61;12.5
Female;English;11;17;9.69
Female;English;15;20;6.7
Female;English;12;53;6.25
Male;English;10;28;10.52
Male;English;13;68;15.5
Female;Other;11;17;15.5
Male;English;12.3;19;6.51
Female;English;13;53;15.5
Female;English;16.5;26;9.83
Male;English;10;37;14
Male;English;19;54;18.94
Female;English;13;68;15.5
Female;English;12.5;35;15.5
Male;Other;15.5;23;7.8
Male;English;8;78;15.5
Male;English;12.5;16;15.5
Male;English;18;30;21.16
Female;English;13;30;8
Female;English;10;36;15.5
Male;English;10;19;10.75
Male;English;8;70;15.5
Male;English;13;64;15.5
Female;English;17;24;14.93
Female;English;8;71;15.5
Male;Other;12.6;45;15.5
Female;Other;12.5;52;20.35
Female;English;15;20;6
Male;English;8;68;15.5
Male;English;12;36;13.61
Female;English;18;44;17.76
Male;English;12.8;37;7.63
Female;Other;15;26;12.03
Female;English;17;23;15.5
Female;Other;12;48;13
Male;English;13.5;24;13.79
Female;English;17.5;25;15.5
Male;English;10.8;19;7
Female;English;12.5;23;12.29
Male;English;8;58;18.5
Female;English;11;75;15.5
Female;English;15;29;15.91
Female;English;9;64;15.5
Female;English;16;23;7.22
Male;English;10.5;83;15.5
Male;English;13;60;14.84
Male;English;12.5;36;17.64
Female;English;16;43;6.51
Female;English;13;87;15.5
Male;English;12;19;15.5
Male;Other;14;41;22.68
Female;English;12;25;7
Female;English;19;42;21.12
Female;French;17;25;15.84
Female;English;10;71;15.5
Female;Other;13;33;15.5
Female;Other;13;25;17.81
Female;English;14.5;30;7.61
Female;English;10;31;17.28
Female;English;17;58;15.5
Female;English;12;42;15.5
Male;English;10;35;15.5
Female;English;12.5;36;10.17
Female;French;12;35;7
Male;English;20;39;15.5
Female;Other;10;61;15.5
Male;English;17;49;15.5
Female;English;12.5;28;22.53
Female;English;17;70;15.5
Female;English;10;52;7.5
Male;French;10;41;14.26
Female;English;9;69;15.5
Male;Other;7.5;56;15.5
Female;English;8;62;15.5
Female;English;12;59;12
Male;English;17;44;19.2
Female;English;11.5;48;15
Male;Other;8;57;22.23
Male;English;12;56;15.5
Male;English;20;60;15.5
Female;English;14;62;15.5
Female;English;12.3;58;8.42
Male;English;14.5;30;15.5
Male;English;10;34;20
Female;Other;10;61;15.5
Male;English;10;48;19.66
Male;English;12.4;23;7.9
Male;English;11;74;15.5
Male;English;13.5;23;15.5
Female;English;15.6;50;14.07
Female;English;15;35;11.52
Male;English;13.1;19;9.58
Female;French;12;47;15.5
Male;English;3;91;15.5
Female;Other;0;79;15.5
Female;English;14;28;10.45
Female;English;11;58;15.5
Male;Other;8;61;10
Male;English;8;75;15.5
Female;English;14;53;19
Male;English;16.1;48;16.2
Male;English;14;35;17.47
Female;English;8;73;15.5
Female;English;12;28;7.1
Female;English;16;44;15.52
Male;English;10;67;15.5
Female;English;13;19;8.62
Female;English;12;33;6.75
Male;English;6;64;15.5
Female;English;12.5;43;8.16
Female;English;12;52;15.5
Male;English;12;33;7.5
Female;English;15;43;10.35
Female;English;11;25;5.86
Male;English;12;26;10.92
Male;Other;11;60;15.5
Female;English;11;70;15.5
Female;English;10;16;15.5
Male;Other;8;73;15.5
Female;Other;9;67;15.5
Female;English;4;76;15.5
Female;English;17;71;15.5
Female;English;12.5;73;15.5
Female;English;13;36;10.96
Female;English;11;30;15.5
Female;English;12.5;64;15.5
Female;English;9.5;30;13.01
Female;Other;5;76;15.5
Male;Other;16;48;15.5
Male;English;20;34;15.5
Female;English;14;58;15.5
Male;English;12;22;15.5
Male;English;14;33;15.5
Female;English;12;53;15.5
Female;English;16;26;16
Female;English;10;69;15.5
Female;English;12;63;13.71
Female;English;11;17;6.25
Male;English;9.5;40;15.5
Male;English;13.4;34;21.33
Male;English;17;29;18.64
Female;English;11.8;19;15.5
Male;English;14.5;19;6.7
Female;English;13;33;13.83
Male;English;10;45;15
Male;English;12.5;39;10.56
Male;English;13;38;15.5
Male;English;15;58;13.23
Female;English;6;54;16.96
Female;English;13;59;7
Female;English;12;84;15.5
Male;English;16;28;20.94
Male;English;12;22;15.5
Female;English;15;43;7.2
Female;English;13;49;15.5
Male;English;10.8;57;15.5
Male;English;13.4;31;12.75
Male;English;13;50;15.5
Female;English;8;55;15.5
Female;English;11.5;65;7.34
Female;Other;9;73;15.5
Male;English;12;28;22.4
Male;English;13;31;17.38
Female;English;11;48;15.5
Male;English;12.9;31;12.77
Male;English;12;34;14.38
Female;English;14;34;9
Male;English;16;45;15.5
Male;English;12.5;39;15.5
Female;English;12;18;7.03
Female;English;9.9;32;8.72
Male;English;12;56;17.99
Male;Other;12;61;15.5
Female;English;10;63;15.5
Female;English;10;59;15.5
Male;Other;10;69;15.5
Female;English;14;44;15.5
Male;English;11.9;20;10.4
Female;English;10.3;44;6.75
Female;English;12;48;17.92
Female;French;12.5;30;15.5
Female;English;16;22;6.7
Female;English;14;31;15.5
Male;English;12;28;13.68
Female;English;10;67;15.5
Female;English;12;36;15.5
Female;English;9;36;12.29
Male;English;14;21;12
Male;English;10.5;34;15.5
Female;English;12.5;33;15.5
Female;English;15;26;15.5
Female;English;12;46;15.5
Male;English;12;18;6
Male;English;9;63;15.5
Female;English;12.5;72;15.5
Female;English;9;42;11
Female;English;8;74;15.5
Female;English;14;37;17.01
Female;English;12.5;50;12.63
Female;English;11.8;19;6
Male;English;8;71;15.5
Female;English;10.6;47;16
Female;French;12;37;15.5
Male;English;13.2;36;11.51
Female;English;12.5;63;15.5
Male;Other;9.5;51;15.81
Male;Other;15;33;15.5
Female;English;16;40;15.5
Female;English;11;48;15.5
Female;French;10.5;54;14.21
Male;English;12.5;47;15.5
Male;English;13;42;15.5
Male;Other;12;65;15.5
Female;English;15;35;15.5
Male;English;12.5;59;15.5
Female;English;12.5;57;15.5
Male;English;12;71;15.5
Female;English;14.6;34;11.94
Male;English;15;26;12
Female;English;9;52;15.5
Female;Other;17.1;50;15.5
Male;English;12;42;16.5
Female;English;10.5;40;18.16
Male;English;11.3;18;7
Male;English;14;23;14
Male;Other;10;68;15.5
Female;English;14.3;20;15.5
Male;Other;5;81;15.5
Male;English;12.5;42;15.5
Female;English;12;36;20.16
Male;English;11.5;34;15.5
Female;French;8;57;15.5
Female;French;16;59;15.5
Male;English;13;37;15.5
Female;English;13;30;15.5
Male;English;10;52;16.8
Male;English;10.5;51;20
Female;English;8;66;15.5
Female;French;15;36;12
Male;English;18;23;8.76
Female;English;13;57;8.2
Male;English;20;35;15.5
Female;Other;12.5;69;15.5
Female;French;12.7;34;12.87
Female;English;13.4;48;15.56
Male;English;10.2;16;15.5
Female;English;16;29;17.41
Female;English;12;51;9.72
Male;English;12.5;44;15.5
Female;English;12;20;6.25
Female;French;6;66;15.5
Male;French;12.4;35;19.46
Female;English;7;76;15.5
Male;English;14.5;25;15.5
Female;English;11;56;7
Male;English;10;42;15.5
Male;Other;14;53;21.14
Male;English;5;63;15.5
Female;English;16;62;15.5
Female;English;12;27;15.5
Female;English;15;38;15.5
Male;English;11;17;15.5
Female;Other;8;57;15.5
Female;English;12;45;15.5
Male;Other;16;41;15.5
Male;English;11;35;15.5
Female;English;10;71;15.5
Male;English;9;80;15.5
Male;English;12;40;15.5
Female;English;14;19;7
Female;English;9;81;15.5
Male;English;20;29;15.33
Male;English;16;28;19.95
Female;English;8;66;15.5
Male;Other;11;42;12.75
Male;English;10.5;37;12.07
Male;English;15.6;19;9.13
Male;English;8.5;56;15.5
Male;English;16.5;70;15.5
Female;Other;13;37;9.65
Female;Other;8;64;15.5
Male;English;12;34;12
Female;English;6;38;15.5
Male;English;10;16;6.5
Female;Other;7;61;15.5
Female;French;5;80;15.5
Female;English;13;32;15.5
Female;English;13;61;12
Female;English;17;56;15.5
Male;French;13;62;15.5
Female;Other;8;76;15.5
Male;Other;16;93;15.5
Female;French;10;30;8
Female;English;11.3;21;9.83
Male;English;20;68;15.5
Female;English;20;43;15.5
Male;English;12;67;15.5
Female;Other;0;35;7.5
Male;English;1;58;14.37
Male;English;12.4;25;6.5
Male;English;14;33;15.5
Male;English;10;40;19.68
Female;English;13.5;22;9.5
Female;English;16;23;6.67
Male;English;16;34;15.5
Male;English;14;37;16.8
Female;English;12;60;15.5
Male;English;12.5;53;15.5
Female;English;10;83;15.5
Male;English;10;47;15.5
Female;English;10;31;15.86
Male;English;12.5;17;15.5
Female;Other;11.5;53;15.5
Male;English;12.5;40;17.6
Male;English;12;27;10.19
Female;English;13;65;15.5
Male;Other;6;59;13.09
Male;English;11;41;20.64
Female;English;15;35;12.92
Male;French;17.5;50;21.6
Female;Other;4;81;15.5
Male;French;12;46;15.5
Female;English;15.5;22;6.75
Female;English;12;31;12.76
Female;English;15;32;8.5
Female;English;10;53;16.9
Male;English;13;30;9.12
Male;French;9;36;15.5
Female;English;13;40;7
Female;English;11;30;11.5
Male;English;17;34;17.98
Male;English;10;42;10.3
Male;Other;9;80;15.5
Female;Other;6;67;15.5
Male;English;12.5;38;16.79
Female;English;12.5;25;11.65
Female;English;12.5;28;15.5
Female;English;12.5;54;13.28
Female;English;15;28;11
Female;French;14.1;26;6.7
Male;English;10.3;26;15.5
Male;English;12.5;40;15.5
Female;English;8.5;54;9.6
Female;English;14.2;64;15.5
Female;French;9;75;15.5
Female;English;12;27;12.8
Female;English;12;68;15.5
Female;Other;12;70;15.5
Female;English;11;17;15.5
Female;English;13;70;15.5
Female;English;9;77;15.5
Female;English;10;41;11
Male;Other;5;71;15.5
Female;English;20;24;9.91
Male;English;11;17;7
Female;French;9;71;15.5
Female;French;16;45;15.5
Male;French;8;49;15.5
Female;English;16;61;8.62
Male;English;8;75;15.5
Male;French;9;49;17.98
Male;Other;12;32;18
Female;French;13;53;19.19
Male;English;11.8;18;15.5
Male;English;20;43;15.5
Female;English;10;66;15.5
Male;Other;12;60;15.5
Female;Other;17;32;15.5
Female;English;15.5;23;18.22
Female;English;15;48;7
Male;French;7.4;42;15.5
Male;English;12;28;17.26
Female;English;11;37;6.5
Male;English;11;20;9.5
Male;English;16;41;15.5
Male;English;11;29;12
Male;English;10;71;15.5
Male;French;12.5;36;9.03
Female;English;13.4;30;11.91
Male;English;12.5;64;15.5
Female;Other;11;61;15.5
Male;English;10;16;15.5
Female;French;18;67;15.5
Female;English;11.1;22;13.44
Female;English;8;35;15.5
Male;English;18;27;15.5
Male;English;9;16;13.75
Male;English;12;20;7.2
Male;English;12;27;16.3
Male;English;8;73;15.5
Female;English;13;40;7.06
Male;English;9;16;15.5
Male;English;13;53;14.97
Female;English;16;52;20.5
Female;English;15.9;27;9.94
Female;English;11.5;30;15.5
Female;English;14;28;7.2
Female;English;11;31;15.5
Male;English;20;61;11.52
Male;English;11.5;38;16.32
Male;English;18;28;15.5
Female;Other;11;38;15.5
Female;English;12;77;15.5
Male;English;15;39;10.37
Female;English;12.5;31;15.41
Female;English;8;80;15.5
Female;English;4;63;15.5
Female;English;11;66;15.5
Female;English;14;49;14.35
Female;Other;8;51;10.56
Female;English;12;71;15.5
Female;English;13.5;68;15.5
Male;English;14;38;15.53
Female;English;11;17;9.58
Male;English;15;31;15.5
Male;English;4;54;12.95
Female;English;12;27;8.5
Male;French;14.5;38;15.5
Male;French;10;43;15.5
Male;English;13;18;6.7
Male;English;14;42;11.07
Female;Other;12.5;39;8.57
Female;English;12;24;15.5
Male;English;8;31;10.45
Male;English;15;57;15.5
Male;Other;16;28;15.5
Female;English;14;24;13.99
Female;English;10.5;46;15.5
Female;French;11;46;13.17
Female;French;10;34;15.5
Male;English;10;52;17.28
Female;English;9;60;15.5
Male;English;14;44;10.93
Male;English;12;54;8.9
Female;English;12;18;6.85
Male;English;12.5;27;14.45
Female;English;14.5;21;15.5
Female;English;12;35;14.89
Female;Other;12.5;73;15.5
Male;Other;15.3;33;15.87
Male;English;15;21;12.11
Male;English;11.2;31;15.5
Male;English;13;72;15.5
Male;French;9.5;21;15.5
Male;English;14.5;38;20.24
Female;English;12.9;35;15.5
Female;English;10;16;15.5
Female;English;12;21;11.75
Male;English;12.5;18;15.5
Male;English;15.1;38;20.64
Male;English;11;79;15.5
Male;English;16;39;11.2
Male;English;17;62;15.5
Female;English;13.5;44;15.5
Male;Other;15;29;18
Male;English;19.9;29;15.36
Female;English;12;33;12.29
Female;French;8;37;7.2
Male;English;11;18;6
Male;English;9;48;15.5
Male;Other;15.3;30;15.5
Female;English;11.5;19;15.5
Female;English;10.5;79;15.5
Female;English;12.5;33;13.04
Male;French;10.5;30;14.85
Male;Other;14;66;15.5
Male;English;15.1;49;15.5
Female;English;11;36;8.39
Female;English;12;49;15.5
Female;English;0;73;15.5
Male;Other;5;64;15.5
Female;English;14.5;44;10.36
Female;French;10;46;18.21
Male;English;12.2;22;15.36
Female;Other;11;37;15.5
Male;English;12.5;33;17.62
Female;English;15;55;15.39
Female;English;17;28;17.92
Female;Other;12.5;50;7
Male;English;13.5;31;15
Female;Other;14;31;8.98
Male;English;14.1;21;6.85
Male;English;12.5;47;15.92
Male;English;8;79;15.5
Female;Other;8;31;15.5
Female;English;9;66;15.5
Male;English;12;66;15.5
